customer_id,first_name,last_name,email,signup_date,country,segment
1,Denise,Walker,jpeterson@gmail.com,2023-11-21,SG,RETAIL
2,Heather,Cooper,jason41@hotmail.com,2024-06-25,,ONLINE_ONLY
3,Jamie,Mayo,johnhoffman@yahoo.com,2024-03-01,US,WHOLESALE
4,Zachary,Taylor,maldonadoamanda@yahoo.com,2023-11-25,US,RETAIL
5,Jesse,Mckay,tracy15@yahoo.com,2023-08-08,SG,RETAIL
6,Katelyn,Jones,briannasmith@hotmail.com,2023-07-26,FR,VIP
7,Andrea,Young,amandataylor@gmail.com,2023-08-18,IN,RETAIL
8,Shannon,Pierce,rodney87@gmail.com,2023-07-14,IN,WHOLESALE
9,Kimberly,Adkins,richarddavid@hotmail.com,2024-08-30,US,RETAIL
10,Lauren,Mills,nicole35@yahoo.com,2025-05-19,FR,WHOLESALE
11,William,Valdez,prestonjulia@gmail.com,2024-09-10,SG,VIP
12,Mark,Baker,russellwilliams@yahoo.com,2025-04-08,US,VIP
13,Christine,Wright,ebrennan@gmail.com,2025-08-20,FR,ONLINE_ONLY
14,Robert,Perez,yreed@yahoo.com,2025-10-31,IN,WHOLESALE
15,Laura,Scott,angela36@hotmail.com,2024-11-29,SG,VIP
16,Elizabeth,Kelley,lindsayhernandez@gmail.com,2024-04-21,UK,ONLINE_ONLY
17,Stacey,Johnston,stephanie79@hotmail.com,2024-02-28,US,WHOLESALE
18,Patrick,Wells,calebrussell@hotmail.com,2023-01-25,UK,RETAIL
19,Randy,Shah,dramsey@gmail.com,2024-06-25,IN,VIP
20,Matthew,Miller,debraharrington@hotmail.com,2022-12-22,IN,ONLINE_ONLY
21,Alicia,Hernandez,stricklandfrank@yahoo.com,2022-12-16,UK,ONLINE_ONLY
22,Terry,Brooks,xgarcia@hotmail.com,2024-04-04,IN,VIP
23,Morgan,Sheppard,joshua94@hotmail.com,2025-09-22,FR,RETAIL
24,Jennifer,Peters,qnelson@gmail.com,2023-06-17,DE,RETAIL
25,Tiffany,Vaughn,,2024-04-25,FR,ONLINE_ONLY
26,Anthony,Everett,chayes@yahoo.com,2025-11-07,SG,ONLINE_ONLY
27,Antonio,Choi,jacqueline71@hotmail.com,2023-09-03,FR,WHOLESALE
28,Kimberly,Holland,cassandra01@gmail.com,2025-05-22,SG,RETAIL
29,Miss,Debra Williams PhD,hodgemark@hotmail.com,2024-11-13,IN,WHOLESALE
30,Joshua,Gibson,sarakim@hotmail.com,2022-12-19,UK,RETAIL
31,Emily,Smith,sandraromero@gmail.com,2023-09-16,US,RETAIL
32,Richard,Adams,zthornton@yahoo.com,2024-11-14,DE,ONLINE_ONLY
33,Amanda,Shaw,williamsonjimmy@hotmail.com,2025-11-15,DE,ONLINE_ONLY
34,Annette,Schultz,yknight@gmail.com,2023-02-12,US,ONLINE_ONLY
35,David,Durham,mbruce@yahoo.com,2023-03-14,UK,WHOLESALE
36,Kenneth,Haney,parkerscott@hotmail.com,2023-04-11,SG,ONLINE_ONLY
37,Jason,Gonzalez,emily49@yahoo.com,2025-09-13,SG,RETAIL
38,Kaitlyn,Harvey,,2024-11-04,FR,WHOLESALE
39,Todd,Ramirez,williamsmatthew@gmail.com,2023-06-30,FR,WHOLESALE
40,Robin,Hall,martinezrobert@gmail.com,2024-04-22,US,
41,Brian,Gordon,oscar98@yahoo.com,2024-09-11,DE,ONLINE_ONLY
42,Ashley,Pena,willisanna@yahoo.com,2024-02-11,SG,WHOLESALE
43,Nathan,Schmitt,jacqueline45@yahoo.com,2025-06-28,SG,ONLINE_ONLY
44,Patrick,Bonilla,nperry@hotmail.com,2024-03-03,IN,WHOLESALE
45,Kevin,Rose,vincentwhitaker@yahoo.com,2025-06-19,IN,ONLINE_ONLY
46,Julia,Miller,vharrell@yahoo.com,2025-03-20,DE,ONLINE_ONLY
47,Ashley,Hicks,laura90@yahoo.com,2023-10-24,IN,WHOLESALE
48,Jacob,Mitchell,benjaminzimmerman@yahoo.com,2024-09-16,FR,ONLINE_ONLY
49,Douglas,Ortiz,tanderson@gmail.com,2024-01-04,US,VIP
50,Michael,Calderon,francisguerra@hotmail.com,2023-05-18,DE,VIP
51,Jackson,Ball,moniquewilliams@yahoo.com,2024-07-17,US,ONLINE_ONLY
52,Kelli,Martinez,joe15@gmail.com,2025-09-03,US,WHOLESALE
53,Chad,Mitchell,fbrown@hotmail.com,2024-10-10,SG,ONLINE_ONLY
54,Doris,Smith,kellycarlos@gmail.com,2024-10-06,SG,VIP
55,Harold,Morgan,stewartkyle@yahoo.com,2024-07-05,FR,VIP
56,Matthew,Mitchell,curtis54@yahoo.com,2025-01-12,UK,WHOLESALE
57,Heather,Williams,michael90@hotmail.com,2024-03-25,US,VIP
58,Phillip,Berry,hmcintyre@yahoo.com,2024-12-28,IN,RETAIL
59,Mrs.,Sydney Henry MD,laurahicks@gmail.com,2025-04-04,IN,WHOLESALE
60,Allison,Spencer,david89@gmail.com,2023-04-08,SG,WHOLESALE
61,Kelly,Torres,megan90@gmail.com,2025-09-22,SG,VIP
62,Randall,Butler,jessica56@gmail.com,2024-06-04,FR,RETAIL
63,Julie,Adams,james27@hotmail.com,2025-07-08,DE,VIP
64,Tony,Wagner,michaelroberts@yahoo.com,2025-03-04,FR,VIP
65,Marcus,Carr,francisco94@hotmail.com,2025-05-13,FR,ONLINE_ONLY
66,Elijah,Cabrera,anthonyvaughan@gmail.com,2024-03-15,FR,RETAIL
67,Michael,Jenkins,erica49@yahoo.com,2023-08-15,SG,RETAIL
68,William,Evans,jamesryan@hotmail.com,2023-04-17,SG,ONLINE_ONLY
69,Mckenzie,Schmidt,justin01@hotmail.com,2024-06-26,SG,ONLINE_ONLY
70,Carrie,Khan,znelson@gmail.com,2025-01-27,IN,ONLINE_ONLY
71,Adrian,Rogers,kevin90@yahoo.com,2024-12-16,DE,WHOLESALE
72,Julie,Moore,foxallison@yahoo.com,2024-07-28,DE,RETAIL
73,Stephanie,Harris,tchambers@hotmail.com,2023-08-23,SG,ONLINE_ONLY
74,Laura,Williams,,2024-01-11,FR,WHOLESALE
75,Michael,Stanley,johnsondonna@hotmail.com,2025-07-13,FR,RETAIL
76,Andrea,Wheeler,barbara53@yahoo.com,2025-11-02,SG,ONLINE_ONLY
77,Denise,Hawkins,lindamelendez@hotmail.com,2024-02-17,SG,WHOLESALE
78,Dawn,Rivera,susan03@gmail.com,2023-03-26,US,ONLINE_ONLY
79,Michael,Padilla,joycesmith@hotmail.com,2024-08-13,US,RETAIL
80,Craig,Hall,otaylor@gmail.com,2023-05-02,FR,ONLINE_ONLY
